time	date	datetime	milliseconds	mean	median	upper	lower
2024.71	2024-09-14	2024-09-14T22:06:00	1726351560771	33.30795337179258	33.24969108093678	41.59424115337476	26.834289760009092
2018.5875510204082	2018-08-02	2018-08-02T05:26:49	1533187609750	220.20274201713798	219.18039524987412	302.2259761752463	160.92943581362482
2012.4651020408164	2012-06-17	2012-06-17T12:47:38	1339937258731	751.520423470828	741.9878329903767	1252.7060482712438	465.68783398121866
2006.3426530612246	2006-05-04	2006-05-04T20:08:27	1146773307710	2017.6187052280486	1937.0531484078265	4980.685462137996	888.9547186826928
2000.2202040816328	2000-03-20	2000-03-20T03:29:16	953522956691	1136.6535065111295	1083.1414715717704	3375.2078929273503	410.4835795375149
1994.097755102041	1994-02-04	1994-02-04T10:50:05	760359005670	406.70405761571703	398.39992588062404	769.7704295328563	221.91229596697016
1987.9753061224492	1987-12-21	1987-12-21T18:10:54	567108654650	453.7927006026103	439.3729965027634	1011.7511231372742	212.952013747644
1981.8528571428574	1981-11-07	1981-11-07T01:31:43	373944703630	588.5376367883352	562.1153812155952	1721.1480612530506	217.55298453175104
1975.7304081632656	1975-09-23	1975-09-23T08:52:32	180694352610	503.98188637757363	484.93366701863516	1413.946977755679	194.9954073506197
1969.6079591836738	1969-08-09	1969-08-09T16:13:22	-12469598410	481.8611734119929	466.1627834760341	1675.7095069414975	145.4004484316571
1963.485510204082	1963-06-25	1963-06-25T23:34:11	-205719949431	249.7307087886499	236.30905729741932	817.6511441459733	85.42370289510818
1957.3630612244901	1957-05-12	1957-05-12T06:55:00	-398883900451	223.63435785203293	214.7805960845571	703.9427761932596	75.35832857653203
1951.2406122448983	1951-03-28	1951-03-28T14:15:49	-592134251471	256.5447702780411	243.9934943581562	940.4613883648858	76.97694538516605
1945.1181632653065	1945-02-11	1945-02-11T20:36:38	-785301802491	251.2090324016569	239.43441221432067	1009.3686800328074	65.97378385075284
1938.9957142857147	1938-12-29	1938-12-29T04:57:27	-978548553511	209.5519532607811	199.70740533896392	922.9223500791536	52.73020957120037
1932.873265306123	1932-11-13	1932-11-13T12:18:16	-1171798904532	187.70634912552316	178.6090464803671	861.7647504085857	44.220402360598605
1926.750816326531	1926-09-30	1926-09-30T19:39:05	-1364962855551	188.93657542890827	178.8654357406088	990.7210269336995	40.07750076152433
1920.6283673469393	1920-08-16	1920-08-16T02:59:54	-1558213206571	199.70019873266662	188.04526784910206	1212.6705238858497	37.0474196149786
1914.5059183673475	1914-07-03	1914-07-03T10:20:43	-1751377157592	216.02102447110784	201.66750381161904	1473.8731697029052	34.02086632492448
1908.3834693877557	1908-05-18	1908-05-18T17:41:32	-1944627508612	244.37702292831793	224.8322849546323	2041.4338878275369	34.752740834030575
1902.2610204081639	1902-04-05	1902-04-05T01:11:11	-2137790929633	284.7583835721684	259.60331776211984	2635.0291882775546	35.982450112892344
1896.138571428572	1896-02-19	1896-02-19T08:23:10	-2330955410653	323.5579157482919	291.7087873727032	3287.3390396076293	37.227487781495945
1890.0161224489802	1890-01-05	1890-01-05T15:43:59	-2524119361672	346.18053200539396	311.1510381882402	3856.8066637257652	37.57407845767992
1883.8936734693884	1883-11-21	1883-11-21T23:04:48	-2717369712693	344.87062192080265	310.4497116185515	3993.6625026022502	34.31168814364084
1877.7712244897966	1877-10-08	1877-10-08T06:25:37	-2910533663713	326.4098825924015	294.09060124736817	4148.5137452142135	32.214393533155985
1871.6487755102048	1871-08-24	1871-08-24T13:46:26	-3103784014733	313.64626876676533	282.3540913724087	4048.6655647025964	29.86386411580338
1865.526326530613	1865-07-10	1865-07-10T21:07:15	-3296947965753	323.24671009896696	288.7604277427035	4366.686616686137	28.79552789895662
1859.4038775510212	1859-05-27	1859-05-27T04:28:04	-3490198316773	357.49322027039284	316.0827333777182	5503.591124681247	29.40043202304533
1853.2814285714294	1853-04-12	1853-04-12T11:48:53	-3683362267793	407.09194345573235	353.80320897492044	6911.204288558408	30.693444816384297
1847.1589795918376	1847-02-26	1847-02-26T19:09:42	-3876612618813	452.86342560816666	390.49259538614007	8278.522848318085	31.644291343803943
1841.0365306122458	1841-01-13	1841-01-13T02:30:31	-4069776569834	478.12119960161095	408.99908281870586	9681.830741937703	33.114140158069176
1834.914081632654	1834-11-29	1834-11-29T09:51:20	-4263026920854	467.5666134838954	397.61496333568647	9725.184779583156	30.646294344774347
1828.7916326530622	1828-10-14	1828-10-14T17:12:09	-4456277271874	418.0129674543074	355.90740413630283	8825.58904423555	25.453291909420678
1822.6691836734703	1822-09-01	1822-09-01T00:32:58	-4649441222894	338.80591355073824	292.66056630112007	7597.835780524501	18.031327074721055
1816.5467346938785	1816-07-17	1816-07-17T07:53:47	-4842691573914	245.9762755850988	219.7820148104868	6767.291508358841	11.324143377025152
1810.4242857142867	1810-06-03	1810-06-03T15:14:36	-5035855524935	160.2215241582317	149.3498534935018	5077.313397717237	5.665319213974959
1804.301836734695	1804-04-18	1804-04-18T22:35:25	-5229105875954	96.46522335474891	93.36525826033609	3344.547038131432	2.7515038916195684
1798.179387755103	1798-03-06	1798-03-06T05:56:14	-5422183426975	55.91552243508466	55.14360298085681	2244.822112995257	1.5964732416425325
1792.0569387755113	1792-01-20	1792-01-20T13:17:03	-5615433777995	33.978139777735095	34.1382688869998	1313.5679333843707	0.8303960348621608
1785.9344897959195	1785-12-06	1785-12-06T20:37:51	-5808597729015	23.06845350093542	23.76873052375609	1048.9408627658365	0.5219759744682915
1779.8120408163277	1779-10-23	1779-10-23T03:58:40	-6001848080036	17.94266083373432	18.86307166381991	882.6826486900387	0.2760569680577457
1773.6895918367359	1773-09-08	1773-09-08T11:19:29	-6195012031056	15.484510983695104	16.411626881748393	1100.0765528976256	0.1699943003956437
