Timeline Bin,Total (N),Genotype IB (%),Genotype IB (N),Genotype IA (%),Genotype IA (N),Genotype IIIA (%),Genotype IIIA (N),Genotype IIIB (%),Genotype IIIB (N),Genotype IIA (%),Genotype IIA (N),Other/Unassigned (%),Other/Unassigned (N)
<1998 / Endemic,11,0.0,0,9.09,1,45.45,5,36.36,4,0.0,0,9.09,1
1998-2007,22,4.55,1,13.64,3,13.64,3,0.0,0,0.0,0,68.18,15
2008-2012,24,0.0,0,41.67,10,4.17,1,0.0,0,0.0,0,54.17,13
2013-2017,43,25.58,11,16.28,7,0.0,0,0.0,0,13.95,6,44.19,19
2018+ (Contemporary),198,63.13,125,25.25,50,4.04,8,0.0,0,0.0,0,7.58,15
